sinkage,force_z
0.00007,1.4259
0.00015,2.7496
0.00022,1.2450
0.00030,0.1595
0.00037,0.1977
0.00045,0.2231
0.00052,0.3780
0.00060,0.3397
0.00067,0.4121
0.00075,0.4482
0.00082,0.4444
0.00090,0.4276
0.00097,0.4104
0.00105,0.4233
0.00112,0.4267
0.00120,0.4214
0.00127,0.4101
0.00135,0.4131
0.00142,0.4203
0.00150,0.4212
0.00157,0.4189
0.00165,0.4188
0.00172,0.4217
0.00180,0.4246
0.00187,0.4232
0.00195,0.4216
0.00202,0.4228
0.00210,0.4245
0.00217,0.4248
0.00225,0.4248
0.00232,0.4252
0.00240,0.4257
0.00247,0.4258
0.00255,0.4262
0.00262,0.4272
0.00270,0.4282
0.00277,0.4287
0.00285,0.4290
0.00292,0.4303
0.00300,0.4317
0.00307,0.4326
0.00315,0.4330
0.00322,0.4337
0.00330,0.4348
0.00337,0.4361
0.00345,0.4375
0.00352,0.4387
0.00360,0.4396
0.00367,0.4407
0.00375,0.4423
0.00382,0.4439
0.00390,0.4446
0.00397,0.4451
0.00405,0.4456
0.00412,0.4460
0.00420,0.4466
0.00427,0.4473
0.00435,0.4478
0.00442,0.4481
0.00450,0.4483
0.00457,0.4510
0.00465,0.4495
0.00472,0.4480
0.00480,0.4475
0.00487,0.4483
0.00495,0.4490
0.00502,0.4489
0.00510,0.4483
0.00517,0.4481
0.00525,0.4483
0.00532,0.4481
0.00540,0.4471
0.00547,0.4462
0.00555,0.4462
0.00562,0.4458
0.00570,0.4451
0.00577,0.4445
0.00585,0.4433
0.00592,0.4425
0.00600,0.4417
0.00607,0.4408
0.00615,0.4397
0.00622,0.4383
0.00630,0.4374
0.00637,0.4368
0.00645,0.4359
0.00652,0.4351
0.00660,0.4325
0.00667,0.4319
0.00675,0.4314
0.00682,0.4306
0.00690,0.4298
0.00697,0.4287
0.00705,0.4283
0.00712,0.4279
0.00720,0.4260
0.00727,0.4242
0.00735,0.4232
0.00742,0.4227
0.00750,0.4223
0.00757,0.4217
0.00765,0.4211
0.00772,0.4206
0.00780,0.4200
0.00787,0.4196
0.00795,0.4197
0.00802,0.4199
0.00810,0.4197
0.00817,0.4204
0.00825,0.4193
0.00832,0.4183
0.00840,0.4179
0.00847,0.4179
0.00855,0.4183
0.00862,0.4188
0.00870,0.4189
0.00877,0.4220
0.00885,0.4204
0.00892,0.4199
0.00900,0.4205
