sinkage,force_z
0.00007,1.5138
0.00015,3.7427
0.00022,2.6553
0.00030,1.2867
0.00037,0.7438
0.00045,1.0898
0.00052,1.7412
0.00060,2.2158
0.00067,2.2333
0.00075,1.9678
0.00082,1.6657
0.00090,1.5483
0.00097,1.6644
0.00105,1.8720
0.00112,2.0004
0.00120,1.9867
0.00127,1.8820
0.00135,1.7893
0.00142,1.7760
0.00150,1.8380
0.00157,1.9162
0.00165,1.9575
0.00172,1.9471
0.00180,1.9095
0.00187,1.8823
0.00195,1.8867
0.00202,1.9173
0.00210,1.9514
0.00217,1.9689
0.00225,1.9673
0.00232,1.9566
0.00240,1.9518
0.00247,1.9606
0.00255,1.9798
0.00262,1.9998
0.00270,2.0126
0.00277,2.0173
0.00285,2.0185
0.00292,2.0227
0.00300,2.0327
0.00307,2.0470
0.00315,2.0619
0.00322,2.0743
0.00330,2.0835
0.00337,2.0912
0.00345,2.0996
0.00352,2.1104
0.00360,2.1234
0.00367,2.1370
0.00375,2.1492
0.00382,2.1598
0.00390,2.1694
0.00397,2.1789
0.00405,2.1889
0.00412,2.2002
0.00420,2.2121
0.00427,2.2238
0.00435,2.2346
0.00442,2.2441
0.00450,2.2535
0.00457,2.2636
0.00465,2.2737
0.00472,2.2839
0.00480,2.2941
0.00487,2.3041
0.00495,2.3138
0.00502,2.3241
0.00510,2.3351
0.00517,2.3467
0.00525,2.3584
0.00532,2.3699
0.00540,2.3813
0.00547,2.3924
0.00555,2.4040
0.00562,2.4157
0.00570,2.4300
0.00577,2.4440
0.00585,2.4591
0.00592,2.4786
0.00600,2.5050
0.00607,2.5285
0.00615,2.5423
0.00622,2.5476
0.00630,2.5489
0.00637,2.5536
0.00645,2.5650
0.00652,2.5810
0.00660,2.5983
0.00667,2.6136
0.00675,2.6255
0.00682,2.6347
0.00690,2.6422
0.00697,2.6502
0.00705,2.6599
0.00712,2.6716
0.00720,2.6849
0.00727,2.6973
0.00735,2.7081
0.00742,2.7175
0.00750,2.7264
0.00757,2.7371
0.00765,2.7481
0.00772,2.7603
0.00780,2.7724
0.00787,2.7832
0.00795,2.7912
0.00802,2.7989
0.00810,2.8072
0.00817,2.8178
0.00825,2.8296
0.00832,2.8416
0.00840,2.8532
0.00847,2.8636
0.00855,2.8733
0.00862,2.8833
0.00870,2.8952
0.00877,2.9060
0.00885,2.9165
0.00892,2.9265
0.00900,2.9371
